kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(ns),task_stop(ns)
N/A,memory copy task,4,546,"""6.73""","""1624688057649368564""","""1624688057649375294"""
603/AxpyV2_tvmbin,kernel AI core task,4,548,"""0.0""","""1624688057649444604""","""1624688057649444604"""
N/A,event record task,4,549,"""6.3""","""1624688057649640144""","""1624688057649646444"""
N/A,memory copy task,4,551,"""0.01""","""1624688057649710314""","""1624688057649710324"""
N/A,event record task,4,552,"""6.91""","""1624688057650111274""","""1624688057650118184"""
N/A,event record task,4,554,"""0.01""","""1624688057650313384""","""1624688057650313394"""
N/A,event record task,4,555,"""1.23""","""1624688057650580314""","""1624688057650581544"""
N/A,memory copy task,4,556,"""6.06""","""1624688057650619924""","""1624688057650625984"""
603/AxpyV2_tvmbin,kernel AI core task,4,558,"""0.0""","""1624688057650694044""","""1624688057650694044"""
N/A,event record task,4,559,"""6.56""","""1624688057650893504""","""1624688057650900064"""
N/A,memory copy task,4,561,"""0.01""","""1624688057650964114""","""1624688057650964124"""
N/A,event record task,4,562,"""6.24""","""1624688057651222554""","""1624688057651228794"""
N/A,event record task,4,564,"""0.01""","""1624688057651295794""","""1624688057651295804"""
N/A,event record task,4,565,"""6.9""","""1624688057651573454""","""1624688057651580354"""
619/trans_TransData_771_tvmbin,kernel AI core task,4,567,"""0.01""","""1624688057651648074""","""1624688057651648084"""
619/Add_tvmbin,kernel AI core task,4,568,"""7.67""","""1624688057651883924""","""1624688057651891594"""
N/A,event record task,4,570,"""0.01""","""1624688057652075144""","""1624688057652075154"""
N/A,event record task,4,571,"""1.23""","""1624688057652341354""","""1624688057652342584"""
N/A,memory copy task,4,572,"""5.06""","""1624688057652380134""","""1624688057652385194"""
603/AxpyV2_tvmbin,kernel AI core task,4,574,"""0.01""","""1624688057652458684""","""1624688057652458694"""
N/A,event record task,4,575,"""7.0""","""1624688057652695354""","""1624688057652702354"""
N/A,memory copy task,4,577,"""0.0""","""1624688057652774664""","""1624688057652774664"""
N/A,event record task,4,578,"""7.74""","""1624688057652964984""","""1624688057652972724"""
N/A,event record task,4,580,"""0.01""","""1624688057653156954""","""1624688057653156964"""
N/A,event record task,4,581,"""6.94""","""1624688057653406234""","""1624688057653413174"""
N/A,event record task,4,583,"""0.0""","""1624688057653482464""","""1624688057653482464"""
603/AxpyV2_tvmbin,kernel AI core task,4,584,"""6.44""","""1624688057653868104""","""1624688057653874544"""
N/A,event record task,4,586,"""0.0""","""1624688057654067444""","""1624688057654067444"""
N/A,memory copy task,4,587,"""1.33""","""1624688057654410214""","""1624688057654411544"""
N/A,event record task,4,588,"""4.49""","""1624688057654440874""","""1624688057654445364"""
N/A,event record task,4,590,"""0.01""","""1624688057654632384""","""1624688057654632394"""
N/A,event record task,4,591,"""6.67""","""1624688057654922744""","""1624688057654929414"""
619/trans_TransData_771_tvmbin,kernel AI core task,4,593,"""0.0""","""1624688057655002864""","""1624688057655002864"""
619/Add_tvmbin,kernel AI core task,4,594,"""6.22""","""1624688057655204914""","""1624688057655211134"""
N/A,event record task,4,596,"""0.0""","""1624688057655277874""","""1624688057655277874"""
N/A,event record task,4,597,"""6.22""","""1624688057655574534""","""1624688057655580754"""
N/A,event record task,4,599,"""0.01""","""1624688057655650684""","""1624688057655650694"""
603/AxpyV2_tvmbin,kernel AI core task,4,600,"""7.53""","""1624688057656037134""","""1624688057656044664"""
