Model Name,OP Type,Core Type,Count,Total Time(us),Min Time(us),Avg Time(us),Max Time(us),Ratio(%)
7,TransData,AI Core,10,37.55,3.34,3.755,4.43,74.637249
7,AtomicAddrClean,AI Core,10,12.76,1.16,1.276,1.84,25.362751
70,BNTrainingUpdate,AI Core,40,1748.74,0.0,43.718,259.2,100.0
71,Relu,AI Core,24,820.81,0.0,34.2,224.42,100.0
72,DepthwiseConv2D,AI Core,7,9125.64,1.46,1303.662,2157.12,94.49268
72,TransData,AI Core,8,419.7,0.01,52.462,248.21,4.345841
72,TransposeD,AI Core,7,112.17,1.39,16.024,88.76,1.16148
73,DepthwiseConv2D,AI Core,7,24985.84,0.0,3569.405,6279.9,99.577711
73,TransData,AI Core,7,66.97,3.99,9.567,38.62,0.2669
73,TransposeD,AI Core,8,38.99,1.24,4.873,8.6,0.155389
74,Conv2D,AI Core,18,857.91,0.01,47.661,121.15,100.0
75,DepthwiseConv2D,AI Core,8,12600.39,0.84,1575.048,3159.65,97.054487
75,TransposeD,AI Core,8,282.27,1.18,35.283,257.77,2.174184
75,TransData,AI Core,8,100.14,1.19,12.517,41.31,0.771328
76,Add,AI Core,20,1754.26,1.28,87.713,487.84,100.0
77,MaxPoolWithArgmaxV1,AI Core,8,4988.66,0.0,623.582,1239.08,100.0
78,AvgPool,AI Core,3,392.49,4.43,130.83,198.79,100.0
79,DepthwiseConv2D,AI Core,4,8478.77,1.33,2119.692,4234.18,99.375415
79,TransposeD,AI Core,3,41.93,4.95,13.976,31.31,0.491441
79,TransData,AI Core,4,11.36,0.0,2.84,5.7,0.133145
8,TransData,AI Core,2,9.75,4.49,4.875,5.26,77.93765
8,AtomicAddrClean,AI Core,2,2.76,1.33,1.38,1.43,22.06235
80,AvgPool,AI Core,4,189.93,1.27,47.482,104.67,100.0
81,DepthwiseConv2D,AI Core,8,7752.38,1.28,969.047,1925.95,95.990441
81,TransposeD,AI Core,7,260.33,1.32,37.19,237.42,3.223422
81,TransData,AI Core,8,63.49,0.0,7.936,41.82,0.786137
82,ConcatD,AI Core,4,654.71,7.16,163.677,223.85,51.320823
82,TransData,AI Core,16,621.01,1.07,38.813,72.65,48.679177
83,Relu,AI Core,8,821.53,0.01,102.691,216.23,100.0
84,TransData,AI Core,4,415.36,1.38,103.84,211.0,55.018942
84,Conv2D,AI Core,4,339.58,3.26,84.895,165.19,44.981058
85,BNTrainingReduce,AI Core,4,380.73,1.28,95.182,166.74,89.958179
85,AtomicAddrClean,AI Core,4,42.5,0.0,10.625,39.44,10.041821
86,BNTrainingUpdate,AI Core,4,307.73,1.36,76.932,153.08,100.0
87,AvgPool,AI Core,8,1496.27,0.01,187.033,319.49,100.0
88,TransData,AI Core,8,255.83,1.42,31.978,72.06,61.761866
88,ConcatD,AI Core,3,158.39,33.33,52.796,63.36,38.238134
89,BNTrainingReduce,AI Core,4,674.55,0.0,168.637,464.04,65.526554
89,TransData,AI Core,11,344.48,1.28,31.316,146.52,33.463179
89,AtomicAddrClean,AI Core,4,10.4,1.32,2.6,6.01,1.010268
9,TransData,AI Core,192,1327.77,6.14,6.915,8.0,100.0
90,TransData,AI Core,31,562.11,0.0,18.132,122.72,66.276396
90,BNTrainingUpdate,AI Core,3,286.02,40.71,95.34,123.35,33.723604
91,Relu,AI Core,3,343.42,29.5,114.473,157.38,100.0
92,DepthwiseConv2D,AI Core,4,2165.11,1.36,541.277,1080.47,98.536366
92,TransData,AI Core,4,21.42,1.33,5.355,10.53,0.974846
92,TransposeD,AI Core,4,10.74,0.01,2.685,5.21,0.488788
93,Conv2D,AI Core,39,1334.11,0.01,34.207,256.81,100.0
94,AtomicAddrClean,AI Core,39,1924.7,0.01,49.351,1547.21,61.754816
94,BNTrainingReduce,AI Core,38,1191.98,0.0,31.367,250.12,38.245184
95,BNTrainingUpdate,AI Core,36,1173.46,0.01,32.596,253.9,100.0
96,Relu,AI Core,21,2104.9,1.27,100.233,1538.15,100.0
97,DepthwiseConv2D,AI Core,8,339.36,0.0,42.42,83.39,77.237863
97,TransData,AI Core,6,58.18,1.41,9.696,39.88,13.241687
97,TransposeD,AI Core,8,41.83,1.24,5.228,20.13,9.52045
98,Relu,AI Core,12,833.36,0.0,69.446,223.68,100.0
99,DepthwiseConv2D,AI Core,7,5711.55,1.04,815.935,1381.13,71.149886
99,TransposeD,AI Core,8,1502.93,0.01,187.866,1431.69,18.722291
99,TransData,AI Core,15,813.01,1.27,54.2,216.36,10.127823
